beer1_id,beer2_id,review_overall,review_aroma,review_palate,review_taste
0,1,23.6061432682,25.1346374551,23.2594066992,25.495097568
0,2,21.1541958013,18.0900525151,18.3643676722,20.0686322404
0,3,16.0857079421,14.8239670804,14.3527000944,15.612494996
0,4,23.0922064775,27.59981884,22.9564805665,26.6364412037
0,5,19.1637678967,20.5243757518,18.2893411582,18.1727818454
0,6,25.2289516231,33.1134413796,28.8920404264,31.8315880848
0,7,15.3541525328,14.4308696897,14.4654761415,14.2302494708
0,8,18.0138835347,25.1843205189,20.0748598999,20.9105236663
0,9,15.8587515272,15.3948043183,15.3785564992,13.416407865
0,10,16.0078105936,16.4012194669,15.4919333848,15.3297097168
0,11,20.3162496539,20.1121853611,18.3507493035,18.8281703838
0,12,19.3196790864,18.8613361139,17.9930542154,17.3349358234
0,13,20.8806130178,29.7699512932,24.1971072651,25.9470614907
0,14,22.6053091109,19.4486503388,19.364916731,19.2158788506
0,15,18.0485456478,18.0900525151,16.4392822228,17.0587221092
0,16,15.612494996,16.8745370307,16.2326830807,15.305227865
0,17,19.0197266016,17.1682847134,16.0934769394,16.9263108798
0,18,17.0367250374,18.8878267675,16.1554944214,17.1682847134
0,19,20.7062792408,19.8871818014,21.7025344142,21.6390850084
0,20,16.8597153001,17.48570845,15.5080624193,15.5483118055
0,21,18.9340962288,15.9295323221,17.226433177,16.7705098312
0,22,20.6155281281,22.6936114358,19.9060292374,22.4388056723
0,23,20.7123151772,26.8514431642,21.7944947177,23.6854385647
0,24,19.8871818014,20.081085628,17.3277234512,18.6949190958
0,25,18.398369493,17.7059312096,17.7059312096,17.8955301682
0,26,24.1660919472,22.5831795813,21.8346055609,22.6439837484
0,27,21.0237960416,18.781639971,18.8215302247,19.653244007
0,28,17.4714052097,15.7876534038,15.4110350074,15.8823801743
0,29,22.5554871373,23.526580712,20.1494416796,23.9478600297
0,30,15.4919333848,16.2788205961,15.668439616,15.1492574075
0,31,19.4036079119,17.2771525432,18.4932420089,16.6733320005
0,32,25.8650343128,27.0185121722,24.0104144071,28.164694211
0,33,16.8374582405,15.6764154066,14.7986485869,15.2970585408
0,34,16.6958078571,20.3408456068,17.2843860174,17.6776695297
0,35,17.5641680703,23.9112944024,17.4642491966,20.2299283241
0,36,19.461500456,19.1049731745,16.8893457541,16.7705098312
0,37,21.6333076528,21.289668856,19.4486503388,21.089096709
0,38,14.6799182559,14.0534693226,13.9642400438,14.9164338902
0,39,16.4012194669,16.992645468,15.5080624193,15.4677082983
